indic_to,c_resid,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 
LSTY,DOM,M03,NR,IT	326221 	132997 	110068 	318853 	270190 
LSTY,DOM,M03,NR,LI	33 	: 	1 	10 	3 
LSTY,DOM,M03,NR,LT	16028 	9767 	10506 	8711 	5331 
LSTY,DOM,M03,NR,LU	1295 	1419 	1647 	1002 	826 
LSTY,DOM,M03,NR,LV	8586 	9363 	6553 	3825 	2400 
LSTY,DOM,M03,NR,MT	2520 	1894 	2535 	2566 	2017 
LSTY,DOM,M03,NR,NL	56275 	78268 	33007 	39689 	32098 
LSTY,DOM,M03,NR,NO	36923 	37337 	21844 	28218 	26549 
LSTY,DOM,M03,NR,PL	224111 	150006 	124664 	188092 	133032 
LSTY,DOM,M03,NR,PT	52435 	49169 	31933 	49400 	41316 
LSTY,DOM,M03,NR,RO	49119 	43022 	22897 	33980 	21487 
LSTY,DOM,M03,NR,SE	34318 	36227 	22741 	16401 	13522 
LSTY,DOM,M03,NR,SI	3867 	785 	2019 	3593 	2711 
LSTY,DOM,M03,NR,SK	16699 	5288 	9511 	11380 	11985 
LSTY,DOM,M04,NR,AT	39434 	17288 	10454 	25934 	21203 
LSTY,DOM,M04,NR,BE	78655 	147318 	10027 	41970 	33152 
LSTY,DOM,M04,NR,BG	19742 	14882 	3943 	13746 	9789 
LSTY,DOM,M04,NR,CH	75565 	122816 	29488 	40379 	33754 
LSTY,DOM,M04,NR,CY	8039 	5154 	1421 	5088 	4129 
LSTY,DOM,M04,NR,CZ	39205 	14392 	7860 	36019 	26817 
LSTY,DOM,M04,NR,DE	959708 	245260 	165361 	769138 	484926 
LSTY,DOM,M04,NR,DK	37126 	40254 	20816 	27151 	19689 
LSTY,DOM,M04,NR,EE	13105 	12109 	7342 	7857 	5786 
LSTY,DOM,M04,NR,EL	95633 	45222 	13989 	66351 	46960 
LSTY,DOM,M04,NR,ES	1008171 	424485 	45084 	810056 	537088 
LSTY,DOM,M04,NR,EU27_2020	5817873 	2722792 	729959 	4388725 	3149465 
