indic_to,c_resid,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 
LSTY,TOTAL,M01,NR,NL	100828 	79815 	161409 	147116 	127954 
LSTY,TOTAL,M01,NR,NO	61739 	37226 	82008 	69118 	57567 
LSTY,TOTAL,M01,NR,PL	445818 	125440 	476437 	348775 	273372 
LSTY,TOTAL,M01,NR,PT	350793 	147039 	439715 	361287 	295938 
LSTY,TOTAL,M01,NR,RO	91831 	64425 	99376 	65126 	44586 
LSTY,TOTAL,M01,NR,SE	73912 	52428 	67532 	51440 	41758 
LSTY,TOTAL,M01,NR,SI	21433 	2579 	29455 	23019 	21727 
LSTY,TOTAL,M01,NR,SK	36630 	9059 	63906 	46931 	38623 
LSTY,TOTAL,M02,NR,AT	423864 	44867 	581951 	476368 	391760 
LSTY,TOTAL,M02,NR,BE	157728 	138704 	180357 	129032 	105537 
LSTY,TOTAL,M02,NR,BG	47968 	28420 	58136 	43836 	37528 
LSTY,TOTAL,M02,NR,CH	255936 	205467 	248159 	183697 	162232 
LSTY,TOTAL,M02,NR,CY	46286 	8233 	52683 	42796 	29740 
LSTY,TOTAL,M02,NR,CZ	119433 	28030 	230470 	187783 	163162 
LSTY,TOTAL,M02,NR,DE	773496 	293143 	973650 	765183 	647226 
LSTY,TOTAL,M02,NR,DK	63746 	46315 	75758 	62694 	60545 
LSTY,TOTAL,M02,NR,EE	24341 	17114 	34062 	24343 	18902 
LSTY,TOTAL,M02,NR,EL	167605 	63380 	200754 	140553 	103911 
LSTY,TOTAL,M02,NR,ES	1931703 	519723 	2125239 	1760040 	1519618 
LSTY,TOTAL,M02,NR,EU27_2020	9153885 	4120031 	10103945 	7899026 	6622615 
LSTY,TOTAL,M02,NR,FI	89352 	57467 	100188 	74516 	63120 
LSTY,TOTAL,M02,NR,FR	2732588 	1902096 	2379171 	1763756 	1459837 
LSTY,TOTAL,M02,NR,HR	66476 	26396 	53176 	41921 	31510 
LSTY,TOTAL,M02,NR,HU	126498 	30759 	200894 	149301 	123241 
LSTY,TOTAL,M02,NR,IE	67083 	22757 	94879 	95214 	80970 
LSTY,TOTAL,M02,NR,IS	26233 	5111 	40733 	52763 	58285 
LSTY,TOTAL,M02,NR,IT	860611 	254034 	1121934 	901809 	777181 
LSTY,TOTAL,M02,NR,LI	503 	320 	629 	506 	397 
LSTY,TOTAL,M02,NR,LT	28651 	13208 	34373 	23682 	19060 
LSTY,TOTAL,M02,NR,LU	10564 	8137 	11843 	8731 	6748 
LSTY,TOTAL,M02,NR,LV	19453 	12011 	25644 	15713 	11410 
LSTY,TOTAL,M02,NR,MT	31798 	13845 	51501 	36682 	33310 
LSTY,TOTAL,M02,NR,NL	124623 	110908 	195596 	160176 	148571 
LSTY,TOTAL,M02,NR,NO	89687 	44569 	108084 	85806 	70998 
LSTY,TOTAL,M02,NR,PL	510442 	237496 	529909 	385796 	286740 
LSTY,TOTAL,M02,NR,PT	473733 	98415 	506883 	393980 	339387 
LSTY,TOTAL,M02,NR,RO	93472 	74307 	97091 	68537 	49961 
LSTY,TOTAL,M02,NR,SE	86471 	57041 	81349 	63229 	48129 
LSTY,TOTAL,M02,NR,SI	24531 	2850 	30819 	25067 	22007 
LSTY,TOTAL,M02,NR,SK	51369 	10375 	75635 	58288 	43504 
LSTY,TOTAL,M03,NR,AT	364720 	49818 	211258 	400754 	379921 
LSTY,TOTAL,M03,NR,BE	173844 	120460 	104966 	159349 	134158 
LSTY,TOTAL,M03,NR,BG	59099 	28236 	29820 	43872 	36042 
LSTY,TOTAL,M03,NR,CH	212135 	163886 	120228 	182995 	166332 
LSTY,TOTAL,M03,NR,CY	65676 	11587 	35312 	61883 	50780 
LSTY,TOTAL,M03,NR,CZ	120599 	20771 	93329 	188586 	187342 
LSTY,TOTAL,M03,NR,DE	903107 	371565 	609099 	909888 	821419 
LSTY,TOTAL,M03,NR,DK	77684 	49150 	51724 	81967 	89576 
LSTY,TOTAL,M03,NR,EE	28347 	15443 	21973 	27736 	22925 
LSTY,TOTAL,M03,NR,EL	244751 	71966 	121167 	198225 	168596 
LSTY,TOTAL,M03,NR,ES	2114885 	774638 	1038332 	2029003 	1947420 
LSTY,TOTAL,M03,NR,EU27_2020	9936561 	4224307 	5012774 	9071167 	8378245 
LSTY,TOTAL,M03,NR,FI	95636 	62403 	67397 	77868 	68670 
LSTY,TOTAL,M03,NR,FR	2560973 	1715030 	1270063 	1921541 	1757459 
LSTY,TOTAL,M03,NR,HR	94889 	40144 	30629 	64722 	66599 
LSTY,TOTAL,M03,NR,HU	152847 	31217 	101920 	179689 	162317 
LSTY,TOTAL,M03,NR,IE	94669 	26538 	76659 	145396 	126679 
LSTY,TOTAL,M03,NR,IS	33992 	6571 	25120 	57904 	66817 
LSTY,TOTAL,M03,NR,IT	1083004 	218778 	264804 	1151573 	1084410 
LSTY,TOTAL,M03,NR,LI	386 	289 	321 	524 	436 
LSTY,TOTAL,M03,NR,LT	34511 	16753 	24646 	29766 	24476 
LSTY,TOTAL,M03,NR,LU	12160 	8678 	9310 	10642 	7986 
LSTY,TOTAL,M03,NR,LV	24331 	13504 	18643 	19447 	15179 
LSTY,TOTAL,M03,NR,MT	44209 	13934 	30528 	49802 	49331 
LSTY,TOTAL,M03,NR,NL	171735 	109456 	121596 	208663 	209646 
LSTY,TOTAL,M03,NR,NO	97231 	46830 	59833 	92486 	82753 
LSTY,TOTAL,M03,NR,PL	528700 	200724 	228141 	374758 	297055 
LSTY,TOTAL,M03,NR,PT	606106 	119073 	307253 	531911 	497320 
LSTY,TOTAL,M03,NR,RO	122382 	59958 	48453 	76588 	55532 
LSTY,TOTAL,M03,NR,SE	89607 	62168 	57834 	63211 	55227 
LSTY,TOTAL,M03,NR,SI	23634 	3274 	11543 	24390 	25645 
LSTY,TOTAL,M03,NR,SK	44456 	9041 	26375 	39937 	36535 
LSTY,TOTAL,M04,NR,AT	290624 	46444 	30715 	330822 	221271 
LSTY,TOTAL,M04,NR,BE	253976 	189473 	27381 	214583 	161685 
LSTY,TOTAL,M04,NR,BG	64618 	29478 	9237 	47608 	43002 
LSTY,TOTAL,M04,NR,CH	194987 	179291 	48835 	159937 	125892 
LSTY,TOTAL,M04,NR,CY	96354 	24405 	7352 	88936 	68945 
LSTY,TOTAL,M04,NR,CZ	148260 	26034 	18455 	262576 	215766 
LSTY,TOTAL,M04,NR,DE	1299142 	360420 	237624 	1213750 	862265 
LSTY,TOTAL,M04,NR,DK	124332 	52512 	31172 	123154 	96791 
LSTY,TOTAL,M04,NR,EE	32545 	17611 	10554 	34423 	25885 
LSTY,TOTAL,M04,NR,EL	510534 	81095 	34927 	426347 	312803 
LSTY,TOTAL,M04,NR,ES	2834453 	868184 	138502 	2571600 	2080295 
LSTY,TOTAL,M04,NR,EU27_2020	13931998 	4032353 	1272723 	12795950 	9773786 
LSTY,TOTAL,M04,NR,FI	82616 	53254 	23555 	64709 	53342 
LSTY,TOTAL,M04,NR,FR	3438851 	1216177 	330511 	2582043 	1964209 
LSTY,TOTAL,M04,NR,HR	266582 	61030 	9315 	251607 	180579 
LSTY,TOTAL,M04,NR,HU	182992 	31043 	21435 	268423 	206347 
LSTY,TOTAL,M04,NR,IE	140195 	31678 	21054 	186948 	145478 
LSTY,TOTAL,M04,NR,IS	33422 	6866 	3169 	40426 	47605 
LSTY,TOTAL,M04,NR,IT	1928979 	222938 	79169 	2043387 	1557947 
LSTY,TOTAL,M04,NR,LI	420 	247 	86 	565 	426 
LSTY,TOTAL,M04,NR,LT	41804 	23521 	8575 	37762 	30572 
LSTY,TOTAL,M04,NR,LU	12338 	9140 	3711 	11236 	8589 
LSTY,TOTAL,M04,NR,LV	29942 	15402 	8692 	28903 	19441 
LSTY,TOTAL,M04,NR,MT	70179 	13788 	7100 	86221 	69967 
LSTY,TOTAL,M04,NR,NL	295879 	170669 	53758 	355712 	281674 
LSTY,TOTAL,M04,NR,NO	99497 	36560 	19822 	84206 	67543 
LSTY,TOTAL,M04,NR,PL	599422 	167280 	52184 	486675 	359327 
LSTY,TOTAL,M04,NR,PT	859023 	175420 	56087 	799394 	615171 
LSTY,TOTAL,M04,NR,RO	135686 	63350 	12235 	104132 	69653 
LSTY,TOTAL,M04,NR,SE	105086 	65488 	32845 	74795 	55432 
LSTY,TOTAL,M04,NR,SI	44020 	3894 	1600 	54465 	38065 
LSTY,TOTAL,M04,NR,SK	43566 	12625 	4978 	45739 	29285 
LSTY,TOTAL,M05,NR,AT	278730 	98028 	43490 	296750 	255912 
LSTY,TOTAL,M05,NR,BE	238894 	171920 	32507 	204911 	172024 
LSTY,TOTAL,M05,NR,BG	72902 	44564 	12894 	54894 	49270 
LSTY,TOTAL,M05,NR,CH	197093 	175272 	84670 	175307 	147503 
LSTY,TOTAL,M05,NR,CY	106760 	42039 	7583 	107101 	95642 
LSTY,TOTAL,M05,NR,CZ	156618 	43403 	27489 	274958 	263338 
LSTY,TOTAL,M05,NR,DE	1436958 	669498 	597749 	1287693 	1123226 
LSTY,TOTAL,M05,NR,DK	130810 	61581 	40760 	150031 	161682 
LSTY,TOTAL,M05,NR,EE	35219 	20682 	13254 	47165 	35399 
LSTY,TOTAL,M05,NR,EL	707617 	212368 	54346 	575582 	507730 
LSTY,TOTAL,M05,NR,ES	2693568 	1258649 	168423 	2508292 	2237425 
LSTY,TOTAL,M05,NR,EU27_2020	14786887 	7140137 	2294420 	13347603 	12079909 
LSTY,TOTAL,M05,NR,FI	81856 	50883 	28765 	74592 	57319 
LSTY,TOTAL,M05,NR,FR	3579389 	2467827 	637455 	2528659 	2424903 
LSTY,TOTAL,M05,NR,HR	432247 	129507 	24187 	391470 	394188 
LSTY,TOTAL,M05,NR,HU	183423 	44616 	28489 	271041 	234683 
LSTY,TOTAL,M05,NR,IE	146861 	56570 	21572 	220081 	206667 
LSTY,TOTAL,M05,NR,IS	41924 	13403 	3590 	48101 	65433 
LSTY,TOTAL,M05,NR,IT	2164829 	591308 	113595 	2087442 	1913512 
LSTY,TOTAL,M05,NR,LI	585 	287 	145 	589 	439 
LSTY,TOTAL,M05,NR,LT	46987 	36902 	16306 	52135 	42801 
LSTY,TOTAL,M05,NR,LU	13885 	10009 	4134 	12191 	9823 
LSTY,TOTAL,M05,NR,LV	32329 	19258 	11048 	41400 	28559 
LSTY,TOTAL,M05,NR,MT	79913 	23419 	6078 	98719 	88927 
LSTY,TOTAL,M05,NR,NL	279904 	237233 	101457 	313939 	313654 
LSTY,TOTAL,M05,NR,NO	115914 	44965 	32639 	107570 	92949 
LSTY,TOTAL,M05,NR,PL	618381 	342162 	154761 	554647 	438887 
LSTY,TOTAL,M05,NR,PT	909359 	320053 	73230 	861527 	772715 
LSTY,TOTAL,M05,NR,RO	141041 	84681 	18781 	113288 	81417 
LSTY,TOTAL,M05,NR,SE	122071 	71540 	42895 	100304 	81160 
LSTY,TOTAL,M05,NR,SI	54142 	10720 	3564 	60523 	54311 
LSTY,TOTAL,M05,NR,SK	42194 	20717 	9608 	58268 	34735 
LSTY,TOTAL,M06,NR,AT	387095 	195710 	148678 	416784 	295740 
LSTY,TOTAL,M06,NR,BE	248959 	160928 	89461 	220812 	164455 
LSTY,TOTAL,M06,NR,BG	112302 	69257 	32220 	114567 	105827 
LSTY,TOTAL,M06,NR,CH	237844 	169635 	121506 	234389 	187328 
LSTY,TOTAL,M06,NR,CY	122963 	82575 	18960 	142783 	124874 
LSTY,TOTAL,M06,NR,CZ	179870 	82580 	78245 	290083 	242286 
LSTY,TOTAL,M06,NR,DE	1657024 	1183332 	1311064 	1544732 	1155113 
LSTY,TOTAL,M06,NR,DK	172026 	81176 	67846 	181973 	163733 
LSTY,TOTAL,M06,NR,EE	50407 	33040 	26466 	63390 	53093 
LSTY,TOTAL,M06,NR,EL	1327130 	590777 	129237 	1075344 	901315 
LSTY,TOTAL,M06,NR,ES	3244503 	1907509 	518626 	3145333 	2713427 
LSTY,TOTAL,M06,NR,EU27_2020	19467661 	10968918 	5944812 	18135821 	14654957 
LSTY,TOTAL,M06,NR,FI	110730 	83317 	58529 	99330 	81018 
LSTY,TOTAL,M06,NR,FR	4070967 	2671256 	1562914 	3407506 	2696956 
LSTY,TOTAL,M06,NR,HR	1301910 	533952 	266480 	1119913 	933609 
LSTY,TOTAL,M06,NR,HU	221691 	83326 	60851 	305336 	243947 
LSTY,TOTAL,M06,NR,IE	196241 	133972 	40859 	256754 	230215 
LSTY,TOTAL,M06,NR,IS	68777 	31275 	7199 	78533 	99783 
LSTY,TOTAL,M06,NR,IT	3138116 	1316894 	474124 	2943926 	2344854 
LSTY,TOTAL,M06,NR,LI	733 	406 	372 	597 	450 
LSTY,TOTAL,M06,NR,LT	69166 	62448 	43082 	69020 	54723 
LSTY,TOTAL,M06,NR,LU	14906 	10014 	6294 	13942 	10878 
LSTY,TOTAL,M06,NR,LV	46836 	26849 	24939 	52410 	40876 
LSTY,TOTAL,M06,NR,MT	92161 	39645 	6378 	116054 	100710 
LSTY,TOTAL,M06,NR,NL	311665 	215354 	207043 	363856 	310001 
LSTY,TOTAL,M06,NR,NO	187679 	70010 	57643 	170615 	140601 
LSTY,TOTAL,M06,NR,PL	807931 	581233 	395564 	693121 	493149 
LSTY,TOTAL,M06,NR,PT	1080352 	533780 	201102 	1049707 	877137 
LSTY,TOTAL,M06,NR,RO	168142 	110433 	54496 	139733 	89291 
LSTY,TOTAL,M06,NR,SE	181259 	113587 	74135 	146804 	112057 
LSTY,TOTAL,M06,NR,SI	96830 	33355 	24634 	99158 	75223 
LSTY,TOTAL,M06,NR,SK	56479 	32619 	22585 	63450 	40450 
LSTY,TOTAL,M07,NR,AT	695419 	476262 	448536 	586368 	511438 
LSTY,TOTAL,M07,NR,BE	356851 	279523 	246426 	273639 	214235 
LSTY,TOTAL,M07,NR,BG	205649 	188609 	103187 	212451 	199838 
LSTY,TOTAL,M07,NR,CH	348953 	306978 	282529 	299371 	247948 
LSTY,TOTAL,M07,NR,CY	162209 	139440 	57697 	167419 	149531 
LSTY,TOTAL,M07,NR,CZ	281584 	202439 	196358 	367663 	339272 
LSTY,TOTAL,M07,NR,DE	2112150 	1841615 	1841357 	1834805 	1498499 
LSTY,TOTAL,M07,NR,DK	315268 	223790 	231608 	304250 	258797 
LSTY,TOTAL,M07,NR,EE	85227 	64503 	57844 	100020 	88749 
LSTY,TOTAL,M07,NR,EL	2176785 	1482122 	618368 	1630870 	1408459 
LSTY,TOTAL,M07,NR,ES	4846051 	3756202 	2343226 	4299095 	3951792 
LSTY,TOTAL,M07,NR,EU27_2020	30515066 	23406617 	16593899 	25574752 	22467436 
LSTY,TOTAL,M07,NR,FI	170501 	151186 	110093 	135926 	109594 
LSTY,TOTAL,M07,NR,FR	7094361 	6030396 	4812389 	5114539 	4459626 
LSTY,TOTAL,M07,NR,HR	2540736 	1913674 	1078447 	2065589 	1937871 
LSTY,TOTAL,M07,NR,HU	336829 	186609 	185133 	412636 	375840 
LSTY,TOTAL,M07,NR,IE	278408 	236214 	160170 	318435 	294293 
LSTY,TOTAL,M07,NR,IS	90400 	57077 	29761 	98565 	116088 
LSTY,TOTAL,M07,NR,IT	4489821 	3176499 	1744101 	3856586 	3378907 
LSTY,TOTAL,M07,NR,LI	975 	705 	790 	820 	671 
LSTY,TOTAL,M07,NR,LT	102524 	96362 	80890 	101666 	87051 
LSTY,TOTAL,M07,NR,LU	16260 	11884 	9934 	14024 	11339 
LSTY,TOTAL,M07,NR,LV	76013 	55040 	56560 	88848 	67967 
LSTY,TOTAL,M07,NR,MT	120931 	65781 	34333 	143394 	124508 
LSTY,TOTAL,M07,NR,NL	405491 	333876 	363914 	419851 	378199 
LSTY,TOTAL,M07,NR,NO	307778 	227096 	201791 	248284 	204478 
LSTY,TOTAL,M07,NR,PL	1275261 	1015406 	822453 	997523 	790351 
LSTY,TOTAL,M07,NR,PT	1468705 	802262 	517860 	1388836 	1266378 
LSTY,TOTAL,M07,NR,RO	254082 	220639 	128601 	210192 	144506 
LSTY,TOTAL,M07,NR,SE	354179 	271373 	190722 	264317 	205068 
LSTY,TOTAL,M07,NR,SI	183724 	100580 	71315 	166729 	139697 
LSTY,TOTAL,M07,NR,SK	110047 	84331 	82377 	99081 	75631 
LSTY,TOTAL,M08,NR,AT	708299 	588637 	523871 	611984 	519982 
LSTY,TOTAL,M08,NR,BE	362462 	295888 	230201 	279298 	223381 
LSTY,TOTAL,M08,NR,BG	219669 	240582 	161958 	247376 	216163 
LSTY,TOTAL,M08,NR,CH	347173 	320397 	275721 	302415 	251399 
LSTY,TOTAL,M08,NR,CY	177358 	159095 	98644 	190590 	166224 
LSTY,TOTAL,M08,NR,CZ	274292 	214991 	215210 	379185 	338146 
LSTY,TOTAL,M08,NR,DE	2086001 	1989256 	2054247 	1836978 	1486586 
LSTY,TOTAL,M08,NR,DK	282944 	221487 	194965 	269294 	259278 
LSTY,TOTAL,M08,NR,EE	68748 	55417 	49701 	86817 	73700 
LSTY,TOTAL,M08,NR,EL	2294641 	1811329 	1012203 	1884060 	1570092 
LSTY,TOTAL,M08,NR,ES	5283507 	4621471 	3272665 	5072976 	4522728 
LSTY,TOTAL,M08,NR,EU27_2020	32213293 	27952064 	22196801 	28812333 	24636394 
LSTY,TOTAL,M08,NR,FI	137024 	110851 	82250 	130244 	106399 
LSTY,TOTAL,M08,NR,FR	8013348 	6996748 	6357125 	6121948 	5150846 
LSTY,TOTAL,M08,NR,HR	2580193 	2372048 	1351430 	2345232 	2068021 
LSTY,TOTAL,M08,NR,HU	350755 	258515 	239780 	467540 	408691 
LSTY,TOTAL,M08,NR,IE	278935 	235203 	208730 	343239 	325890 
LSTY,TOTAL,M08,NR,IS	93372 	62059 	29334 	103923 	125489 
LSTY,TOTAL,M08,NR,IT	4698764 	4198451 	3192300 	4324880 	3704634 
LSTY,TOTAL,M08,NR,LI	1019 	871 	823 	889 	785 
LSTY,TOTAL,M08,NR,LT	99956 	86050 	78985 	105527 	85168 
LSTY,TOTAL,M08,NR,LU	15271 	11849 	9431 	12533 	9810 
LSTY,TOTAL,M08,NR,LV	71914 	54263 	56951 	89879 	67759 
LSTY,TOTAL,M08,NR,MT	128535 	82634 	58057 	158100 	133489 
LSTY,TOTAL,M08,NR,NL	414138 	364257 	386714 	440061 	396342 
LSTY,TOTAL,M08,NR,NO	263233 	152034 	117030 	229001 	200140 
LSTY,TOTAL,M08,NR,PL	1237842 	1077055 	942289 	1029703 	788315 
LSTY,TOTAL,M08,NR,PT	1546420 	1175701 	929041 	1601577 	1416266 
LSTY,TOTAL,M08,NR,RO	280158 	272924 	167161 	252363 	182987 
LSTY,TOTAL,M08,NR,SE	289005 	225540 	137983 	226031 	177703 
LSTY,TOTAL,M08,NR,SI	200195 	138348 	87085 	191913 	156207 
LSTY,TOTAL,M08,NR,SK	112919 	93474 	97824 	113005 	81587 
LSTY,TOTAL,M09,NR,AT	420000 	334497 	272526 	363896 	327005 
LSTY,TOTAL,M09,NR,BE	265158 	213416 	169874 	225568 	180554 
LSTY,TOTAL,M09,NR,BG	101274 	87784 	80706 	101054 	94291 
LSTY,TOTAL,M09,NR,CH	242565 	226495 	197472 	224060 	188585 
LSTY,TOTAL,M09,NR,CY	146246 	134671 	51204 	173108 	155942 
LSTY,TOTAL,M09,NR,CZ	195311 	145783 	118794 	286058 	270397 
LSTY,TOTAL,M09,NR,DE	1714514 	1642005 	1697259 	1592722 	1386230 
LSTY,TOTAL,M09,NR,DK	143269 	117260 	103150 	138886 	144105 
LSTY,TOTAL,M09,NR,EE	38754 	31499 	23051 	44369 	35397 
LSTY,TOTAL,M09,NR,EL	1488588 	1070549 	549703 	1217151 	1040297 
LSTY,TOTAL,M09,NR,ES	3507691 	2745277 	1309227 	3394472 	3069153 
LSTY,TOTAL,M09,NR,EU27_2020	20169883 	15961084 	10811945 	18087761 	15978427 
LSTY,TOTAL,M09,NR,FI	106586 	84272 	60018 	92609 	70721 
LSTY,TOTAL,M09,NR,FR	4114967 	3366814 	2566212 	3166814 	2773925 
LSTY,TOTAL,M09,NR,HR	1113098 	909386 	249613 	890139 	833332 
LSTY,TOTAL,M09,NR,HU	223311 	161446 	72969 	303840 	265425 
LSTY,TOTAL,M09,NR,IE	179944 	128513 	120764 	221068 	224004 
LSTY,TOTAL,M09,NR,IS	64881 	48239 	8737 	68684 	93304 
LSTY,TOTAL,M09,NR,IT	3450398 	2504678 	1623646 	3064108 	2661574 
LSTY,TOTAL,M09,NR,LI	697 	616 	735 	738 	596 
LSTY,TOTAL,M09,NR,LT	51672 	45135 	36486 	52787 	43421 
LSTY,TOTAL,M09,NR,LU	15166 	12084 	9537 	13617 	10966 
LSTY,TOTAL,M09,NR,LV	37737 	28871 	22411 	39408 	30843 
LSTY,TOTAL,M09,NR,MT	99543 	72511 	31540 	130399 	110579 
LSTY,TOTAL,M09,NR,NL	310263 	268200 	255954 	332183 	308418 
LSTY,TOTAL,M09,NR,NO	144278 	92192 	62424 	123000 	106588 
LSTY,TOTAL,M09,NR,PL	782857 	658568 	565580 	647527 	538664 
LSTY,TOTAL,M09,NR,PT	1185122 	804473 	551624 	1172091 	1062440 
LSTY,TOTAL,M09,NR,RO	169368 	159705 	102706 	150295 	111331 
LSTY,TOTAL,M09,NR,SE	139819 	107818 	79256 	110386 	92775 
LSTY,TOTAL,M09,NR,SI	104557 	75793 	40562 	102354 	87602 
LSTY,TOTAL,M09,NR,SK	64670 	50076 	47573 	60852 	49036 
LSTY,TOTAL,M10,NR,AT	341593 	268598 	140802 	321552 	262694 
LSTY,TOTAL,M10,NR,BE	278800 	220655 	128583 	239508 	186632 
LSTY,TOTAL,M10,NR,BG	69688 	47195 	39453 	55959 	46251 
LSTY,TOTAL,M10,NR,CH	217446 	218715 	169867 	190089 	154628 
LSTY,TOTAL,M10,NR,CY	143354 	144096 	49082 	144403 	125209 
LSTY,TOTAL,M10,NR,CZ	191796 	134618 	51199 	299039 	254261 
LSTY,TOTAL,M10,NR,DE	1615831 	1582175 	1479332 	1546772 	1224018 
LSTY,TOTAL,M10,NR,DK	126707 	120468 	87933 	120799 	113255 
LSTY,TOTAL,M10,NR,EE	36848 	31432 	19892 	41204 	32272 
LSTY,TOTAL,M10,NR,EL	700710 	618174 	346461 	565822 	438190 
LSTY,TOTAL,M10,NR,ES	2988893 	2545974 	899908 	2734370 	2468566 
LSTY,TOTAL,M10,NR,EU27_2020	15643467 	12787132 	7395753 	13839832 	11687106 
LSTY,TOTAL,M10,NR,FI	93134 	79816 	58339 	81021 	63989 
LSTY,TOTAL,M10,NR,FR	3423315 	2842989 	1989259 	2514616 	2150516 
LSTY,TOTAL,M10,NR,HR	325946 	238771 	75350 	274058 	228866 
LSTY,TOTAL,M10,NR,HU	209330 	155530 	58290 	278718 	230900 
LSTY,TOTAL,M10,NR,IE	135365 	108035 	47645 	171215 	175679 
LSTY,TOTAL,M10,NR,IS	52646 	39588 	5077 	52730 	72460 
LSTY,TOTAL,M10,NR,IT	2437105 	1711935 	807553 	2206539 	1789476 
LSTY,TOTAL,M10,NR,LI	591 	512 	471 	617 	480 
LSTY,TOTAL,M10,NR,LT	44288 	38651 	27794 	41350 	32138 
LSTY,TOTAL,M10,NR,LU	15662 	12783 	9498 	14329 	11041 
LSTY,TOTAL,M10,NR,LV	34538 	26423 	18986 	32181 	23796 
LSTY,TOTAL,M10,NR,MT	87082 	68276 	28484 	113663 	96614 
LSTY,TOTAL,M10,NR,NL	300100 	266586 	164766 	317963 	287250 
LSTY,TOTAL,M10,NR,NO	117367 	89607 	57312 	99004 	83141 
LSTY,TOTAL,M10,NR,PL	690673 	521837 	335630 	538419 	419928 
LSTY,TOTAL,M10,NR,PT	969423 	733831 	355122 	855276 	780490 
LSTY,TOTAL,M10,NR,RO	159204 	105339 	67743 	132071 	89635 
LSTY,TOTAL,M10,NR,SE	114513 	92821 	79918 	89268 	73351 
LSTY,TOTAL,M10,NR,SI	53379 	33176 	9628 	52595 	42482 
LSTY,TOTAL,M10,NR,SK	56190 	36948 	19103 	57122 	39607 
LSTY,TOTAL,M11,NR,AT	226468 	142976 	53458 	230581 	197572 
LSTY,TOTAL,M11,NR,BE	207040 	177512 	115712 	187996 	152015 
LSTY,TOTAL,M11,NR,BG	52989 	32337 	23385 	42583 	33912 
LSTY,TOTAL,M11,NR,CH	137610 	129536 	101730 	128857 	108034 
LSTY,TOTAL,M11,NR,CY	81981 	83232 	20693 	69848 	55827 
LSTY,TOTAL,M11,NR,CZ	132193 	93273 	27351 	197087 	172574 
LSTY,TOTAL,M11,NR,DE	947149 	830733 	395318 	939919 	772674 
LSTY,TOTAL,M11,NR,DK	79458 	74248 	40655 	81700 	82973 
LSTY,TOTAL,M11,NR,EE	28460 	25769 	17260 	37422 	27695 
LSTY,TOTAL,M11,NR,EL	265327 	240967 	91053 	234199 	179008 
LSTY,TOTAL,M11,NR,ES	2178958 	1869557 	555487 	1945186 	1718934 
LSTY,TOTAL,M11,NR,EU27_2020	9995228 	8370092 	3089189 	8803589 	7448893 
LSTY,TOTAL,M11,NR,FI	84565 	68402 	42214 	77271 	62687 
LSTY,TOTAL,M11,NR,FR	2449350 	2159223 	768714 	1776482 	1496318 
LSTY,TOTAL,M11,NR,HR	93071 	70362 	41051 	65418 	58172 
LSTY,TOTAL,M11,NR,HU	169243 	134488 	36062 	214710 	170596 
LSTY,TOTAL,M11,NR,IE	94340 	71750 	27546 	108278 	117029 
LSTY,TOTAL,M11,NR,IS	35065 	25793 	3195 	35972 	48825 
LSTY,TOTAL,M11,NR,IT	1175225 	914988 	232043 	1086339 	912552 
LSTY,TOTAL,M11,NR,LI	339 	327 	243 	399 	295 
LSTY,TOTAL,M11,NR,LT	34738 	29427 	18210 	36422 	26515 
LSTY,TOTAL,M11,NR,LU	13274 	11088 	7759 	13182 	10368 
LSTY,TOTAL,M11,NR,LV	25144 	17969 	14520 	26752 	19393 
LSTY,TOTAL,M11,NR,MT	55371 	44778 	16384 	57632 	47522 
LSTY,TOTAL,M11,NR,NL	178259 	160171 	86903 	205702 	187091 
LSTY,TOTAL,M11,NR,NO	93060 	69978 	40442 	77450 	67879 
LSTY,TOTAL,M11,NR,PL	527564 	405829 	155629 	442765 	344044 
LSTY,TOTAL,M11,NR,PT	614090 	510409 	185636 	489566 	419567 
LSTY,TOTAL,M11,NR,RO	130539 	92689 	47542 	106840 	77861 
LSTY,TOTAL,M11,NR,SE	89053 	73903 	51643 	67535 	55234 
LSTY,TOTAL,M11,NR,SI	22611 	13922 	2745 	23214 	21316 
LSTY,TOTAL,M11,NR,SK	38768 	20090 	14216 	38960 	29444 
LSTY,TOTAL,M12,NR,AT	454956 	201836 	43632 	463034 	397126 
LSTY,TOTAL,M12,NR,BE	234924 	182727 	124983 	214498 	169493 
LSTY,TOTAL,M12,NR,BG	58973 	43957 	26124 	52602 	43200 
LSTY,TOTAL,M12,NR,CH	210302 	191380 	161710 	191596 	158890 
LSTY,TOTAL,M12,NR,CY	67948 	59063 	16344 	55014 	43838 
LSTY,TOTAL,M12,NR,CZ	169316 	94861 	30754 	267559 	234068 
LSTY,TOTAL,M12,NR,DE	1019760 	772998 	275924 	1066054 	889646 
LSTY,TOTAL,M12,NR,DK	84245 	66980 	37452 	89487 	89100 
LSTY,TOTAL,M12,NR,EE	35266 	30825 	18867 	44248 	34766 
LSTY,TOTAL,M12,NR,EL	246324 	214935 	63897 	227664 	167024 
LSTY,TOTAL,M12,NR,ES	2369300 	2040528 	717071 	2162763 	1862581 
LSTY,TOTAL,M12,NR,EU27_2020	11258926 	8915216 	3798149 	10174940 	8565186 
LSTY,TOTAL,M12,NR,FI	111308 	95929 	56781 	101307 	89287 
LSTY,TOTAL,M12,NR,FR	2969928 	2522938 	1437505 	2167781 	1829951 
